etath,etaiso,triang,coreradius,bt,bscfmax,rmajor,coe,capcost
0.37738,0.89741,0.45726,0.77661,3.92,0.94733,5.6865,540.97,14464.0
0.37762,0.70236,0.42622,0.72588,3.7404,0.97479,6.3761,703.62,18957.0
0.37764,0.89358,0.47413,0.7711,3.9976,0.88088,5.6002,524.12,13976.0
0.37767,0.71824,0.41507,0.72147,4.0092,0.90739,5.5363,510.82,13624.0
0.37772,0.79509,0.42581,0.74803,3.6227,0.96766,6.5066,737.05,19924.0
0.37779,0.88474,0.51986,0.74574,4.0499,0.93126,5.5056,505.97,13458.0
0.37788,0.85179,0.54858,0.73344,3.696,0.97567,6.158,647.14,17414.0
0.37788,0.72501,0.5213,0.77257,3.6466,0.8961,6.4716,728.83,19660.0
0.37809,0.68987,0.53082,0.75722,3.9512,0.90786,5.5832,520.38,13878.0
0.37812,0.82191,0.48505,0.73973,4.057,0.92072,5.4518,495.16,13170.0
0.37814,0.83388,0.44298,0.73717,3.776,0.93648,5.9623,599.84,16130.0
0.37817,0.84891,0.55664,0.77001,3.8096,0.94403,5.7757,559.06,14980.0
0.37821,0.85577,0.55366,0.71353,3.6194,0.9881,6.5813,759.73,20501.0
0.37822,0.6816,0.55734,0.7953,3.6102,0.90829,6.6034,765.98,20674.0
0.37835,0.94948,0.41586,0.74951,3.8137,0.93447,6.1212,638.93,17172.0
0.37843,0.84538,0.48363,0.70157,3.7695,0.94847,6.0275,615.54,16548.0
0.37847,0.73766,0.50139,0.79821,3.77,0.89789,6.1415,643.95,17306.0
0.37856,0.72207,0.56232,0.77454,3.7933,0.88962,5.9068,588.62,15779.0
0.37857,0.93775,0.40928,0.78955,3.6573,0.93589,6.3126,684.75,18491.0
0.37877,0.70487,0.51357,0.75798,4.047,0.95194,5.3976,484.7,12884.0
0.379,0.75579,0.40126,0.77497,3.739,0.9627,6.4083,712.07,19193.0
0.37902,0.76235,0.57308,0.749,3.6134,0.98561,6.3377,692.22,18668.0
0.37904,0.8601,0.59355,0.73411,3.716,0.92493,6.097,632.85,17002.0
0.37909,0.71946,0.48669,0.74594,3.7318,0.95591,6.0591,622.68,16752.0
0.37952,0.70978,0.4579,0.77494,4.0129,0.96709,5.4756,499.0,13293.0
0.37959,0.90098,0.54174,0.72393,4.0492,0.95461,5.5144,507.84,13504.0
0.37972,0.74341,0.45332,0.77456,3.9658,0.98979,5.5721,517.66,13816.0
0.37973,0.82902,0.59455,0.74487,3.712,0.92186,6.0811,628.87,16896.0
0.38006,0.74974,0.55176,0.77821,3.7277,0.91929,6.1993,658.22,17697.0
0.38009,0.84755,0.55641,0.77868,3.6528,0.90295,6.3339,691.81,18642.0
0.3801,0.84962,0.44658,0.74074,4.0819,0.8916,5.4029,485.67,12912.0
0.38017,0.81208,0.40133,0.78491,3.7671,0.97602,6.0611,623.13,16767.0
0.38037,0.77089,0.49961,0.75689,3.7691,0.90018,6.1639,649.47,17456.0
0.38049,0.65464,0.47476,0.73857,3.6068,0.89614,6.6986,792.9,21431.0
0.38051,0.66506,0.45713,0.73313,3.6664,0.88371,6.2426,667.06,17994.0
0.38072,0.86012,0.53935,0.7435,3.8496,0.90721,5.7689,558.25,14940.0
0.38075,0.66706,0.59414,0.77958,4.093,0.89352,5.1958,448.54,11874.0
0.38077,0.82534,0.43345,0.79022,3.6931,0.97323,6.1107,634.13,17092.0
0.3808,0.79528,0.5648,0.71612,3.7109,0.90188,6.2708,676.46,18195.0
0.38097,0.76546,0.44537,0.7455,3.7045,0.94781,6.3263,689.64,18590.0
0.38115,0.85011,0.43641,0.70241,3.7799,0.91116,5.9804,603.96,16242.0
0.38121,0.93132,0.49596,0.71872,3.9336,0.89275,5.7922,564.33,15083.0
0.38126,0.90962,0.44136,0.73553,3.9572,0.96387,5.5944,521.98,13938.0
0.38131,0.76699,0.52289,0.73508,3.7329,0.88562,6.1303,640.58,17225.0
0.38184,0.68289,0.41719,0.77197,3.9695,0.91526,5.6522,533.99,14265.0
0.38201,0.66234,0.46393,0.7032,4.0477,0.92805,5.4269,489.85,13034.0
0.38232,0.65262,0.52207,0.72876,3.8554,0.90425,5.8557,577.49,15463.0
0.38233,0.69979,0.56613,0.77442,4.0144,0.88693,5.347,474.89,12618.0
0.38239,0.75376,0.48148,0.75999,3.9494,0.94217,5.5331,509.61,13598.0
0.38248,0.69172,0.42906,0.79398,3.8231,0.91771,5.8207,568.3,15248.0
