aspect,outlet_temp,beta,etanbi,capcost
1.8916015625,977.27734375,0.18546875,0.351171875,4899.3
1.8916015625,977.27734375,0.18546875,0.351171875,4889.1
1.8916015625,977.27734375,0.18546875,0.351171875,4896.9
1.8916015625,977.27734375,0.18546875,0.351171875,4899.7
1.8916015625,977.27734375,0.18546875,0.351171875,4913.4
1.8716796875,977.27734375,0.18546875,0.351171875,4960.2
1.8916015625,977.27734375,0.18546875,0.351171875,4899.3
1.8916015625,1040.55859375,0.18546875,0.351171875,4873.0
1.8916015625,977.27734375,0.17984375,0.351171875,4912.2
1.8916015625,977.27734375,0.18546875,0.4527343749999999,4865.4
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4925.5
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4915.5
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4914.9
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4905.1
1.8916015625,1040.55859375,0.17984375,0.4527343749999999,4854.2
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4914.9
1.8716796875,977.27734375,0.17984375,0.4527343749999999,4938.7
1.8716796875,1040.55859375,0.18546875,0.4527343749999999,4902.7
1.8716796875,1040.55859375,0.17984375,0.351171875,4946.6
1.8716796875,1040.55859375,0.17984375,0.4527343749999999,4914.9
1.9916015625,827.27734375,0.10546875,0.551171875,6965.2
1.9916015625,827.27734375,0.10546875,0.551171875,7020.5
1.9916015625,827.27734375,0.10546875,0.551171875,6988.8
1.9916015625,827.27734375,0.10546875,0.551171875,6975.0
1.9916015625,827.27734375,0.10546875,0.551171875,6928.5
1.9716796875,827.27734375,0.10546875,0.551171875,6868.1
1.9916015625,827.27734375,0.10546875,0.551171875,5130.8
1.9916015625,890.55859375,0.10546875,0.551171875,6578.7
1.9916015625,827.27734375,0.09984375,0.551171875,7447.7
1.9916015625,827.27734375,0.10546875,0.252734375,7921.7
1.9716796875,890.55859375,0.09984375,0.252734375,5512.9
1.9716796875,890.55859375,0.09984375,0.252734375,5530.1
1.9716796875,890.55859375,0.09984375,0.252734375,5539.6
1.9716796875,890.55859375,0.09984375,0.252734375,5565.3
1.9916015625,890.55859375,0.09984375,0.252734375,5595.7
1.9716796875,890.55859375,0.09984375,0.252734375,7901.5
1.9716796875,827.27734375,0.09984375,0.252734375,5815.4
1.9716796875,890.55859375,0.10546875,0.252734375,5339.5
1.9716796875,890.55859375,0.09984375,0.551171875,5190.0
1.9716796875,890.55859375,0.09984375,0.252734375,5544.4
1.9416015625,1052.27734375,0.06546875,0.451171875,8703.3
1.9416015625,1052.27734375,0.06546875,0.451171875,9147.1
1.9416015625,1052.27734375,0.06546875,0.451171875,8681.9
1.9416015625,1052.27734375,0.06546875,0.451171875,8797.0
1.9416015625,1052.27734375,0.06546875,0.451171875,8768.8
1.8216796875,1052.27734375,0.06546875,0.451171875,7841.9
1.9416015625,1052.27734375,0.06546875,0.451171875,7717.8
1.9416015625,965.55859375,0.06546875,0.451171875,9291.6
1.9416015625,1052.27734375,0.05984375,0.451171875,9867.0
1.9416015625,1052.27734375,0.06546875,0.552734375,8483.3
1.8216796875,965.55859375,0.05984375,0.552734375,8198.6
1.8216796875,965.55859375,0.05984375,0.552734375,8741.8
1.8216796875,965.55859375,0.05984375,0.552734375,8546.1
1.8216796875,965.55859375,0.05984375,0.552734375,8601.5
1.9416015625,965.55859375,0.05984375,0.552734375,9800.6
1.8216796875,965.55859375,0.05984375,0.552734375,9934.1
1.8216796875,1052.27734375,0.05984375,0.552734375,8134.6
1.8216796875,965.55859375,0.06546875,0.552734375,7756.5
1.8216796875,965.55859375,0.05984375,0.451171875,8963.0
1.8216796875,965.55859375,0.05984375,0.552734375,8707.4
1.8416015625,902.27734375,0.14546875,0.251171875,5292.6
1.8416015625,902.27734375,0.14546875,0.251171875,5278.5
1.8416015625,902.27734375,0.14546875,0.251171875,5291.3
1.8416015625,902.27734375,0.14546875,0.251171875,5289.9
1.8416015625,902.27734375,0.14546875,0.251171875,5279.5
1.9216796875,902.27734375,0.14546875,0.251171875,5032.3
1.8416015625,902.27734375,0.14546875,0.251171875,5292.6
1.8416015625,815.55859375,0.14546875,0.251171875,5365.8
1.8416015625,902.27734375,0.13984375,0.251171875,5314.5
1.8416015625,902.27734375,0.14546875,0.352734375,5225.7
1.9216796875,815.55859375,0.13984375,0.352734375,5519.4
1.9216796875,815.55859375,0.13984375,0.352734375,5400.3
1.9216796875,815.55859375,0.13984375,0.352734375,5406.1
1.9216796875,815.55859375,0.13984375,0.352734375,5456.8
1.8416015625,815.55859375,0.13984375,0.352734375,5282.6
1.9216796875,815.55859375,0.13984375,0.352734375,5022.9
1.9216796875,902.27734375,0.13984375,0.352734375,5103.2
1.9216796875,815.55859375,0.14546875,0.352734375,5217.3
1.9216796875,815.55859375,0.13984375,0.352734375,5390.8
1.8166015625,1089.77734375,0.04546875,0.4011718749999999,10380.0
1.9966796875,1089.77734375,0.04546875,0.4011718749999999,12917.0
1.8166015625,853.05859375,0.04546875,0.4011718749999999,13540.0
1.8166015625,1089.77734375,0.15984375,0.4011718749999999,5162.3
1.8166015625,1089.77734375,0.04546875,0.302734375,11145.0
1.9966796875,853.05859375,0.15984375,0.302734375,4853.4
1.9966796875,853.05859375,0.15984375,0.302734375,4877.0
1.9966796875,853.05859375,0.15984375,0.302734375,4894.3
1.9966796875,853.05859375,0.15984375,0.302734375,4895.9
1.8166015625,853.05859375,0.15984375,0.302734375,5326.8
1.9966796875,853.05859375,0.15984375,0.302734375,4783.7
1.9966796875,1089.77734375,0.15984375,0.302734375,4669.8
1.9966796875,853.05859375,0.15984375,0.4011718749999999,4738.1
1.9966796875,853.05859375,0.15984375,0.302734375,4877.9
1.9166015625,939.77734375,0.12546875,0.201171875,5459.0
1.9166015625,939.77734375,0.12546875,0.201171875,5479.1
1.9166015625,939.77734375,0.12546875,0.201171875,5459.9
1.9166015625,939.77734375,0.12546875,0.201171875,5477.8
1.9166015625,939.77734375,0.12546875,0.201171875,5444.3
1.8966796875,939.77734375,0.12546875,0.201171875,5413.7
1.9166015625,939.77734375,0.12546875,0.201171875,5174.5
1.9166015625,1003.05859375,0.12546875,0.201171875,5293.1
1.9166015625,939.77734375,0.07984375,0.201171875,8915.4
1.9166015625,939.77734375,0.12546875,0.502734375,4964.2
1.8966796875,1003.05859375,0.07984375,0.502734375,5755.0
1.8966796875,1003.05859375,0.07984375,0.502734375,5772.4
1.8966796875,1003.05859375,0.07984375,0.502734375,5752.4
1.8966796875,1003.05859375,0.07984375,0.502734375,5789.2
1.9166015625,1003.05859375,0.07984375,0.502734375,5832.8
1.8966796875,1003.05859375,0.07984375,0.502734375,7180.3
1.8966796875,939.77734375,0.07984375,0.502734375,5976.3
1.8966796875,1003.05859375,0.12546875,0.502734375,4994.1
1.8966796875,1003.05859375,0.07984375,0.201171875,6583.4
1.8966796875,1003.05859375,0.07984375,0.502734375,5773.4
1.9666015625,1014.77734375,0.16546875,0.301171875,4751.7
1.9666015625,1014.77734375,0.16546875,0.301171875,4753.1
1.9666015625,1014.77734375,0.16546875,0.301171875,4750.4
1.9666015625,1014.77734375,0.16546875,0.301171875,4750.7
