run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
63,5219.8,0.90234375,6.23828125e-05,44.70703125,1.1765625,1.93046875,4.42578125,826.984375,0.11937500000000001,0.3421875
64,5269.5,0.90234375,6.23828125e-05,33.57421875,0.8265625000000001,1.93046875,4.42578125,826.984375,0.11937500000000001,0.3421875
65,5599.2,0.90234375,6.23828125e-05,33.57421875,1.1765625,1.8257812500000001,4.42578125,826.984375,0.11937500000000001,0.3421875
66,5654.0,0.90234375,6.23828125e-05,33.57421875,1.1765625,1.93046875,3.77734375,826.984375,0.11937500000000001,0.3421875
67,5286.9,0.90234375,6.23828125e-05,33.57421875,1.1765625,1.93046875,4.42578125,796.515625,0.11937500000000001,0.3421875
68,4910.0,0.90234375,6.23828125e-05,33.57421875,1.1765625,1.93046875,4.42578125,826.984375,0.170625,0.3421875
69,5151.9,0.90234375,6.23828125e-05,33.57421875,1.1765625,1.93046875,4.42578125,826.984375,0.11937500000000001,0.44218749999999996
70,5240.0,0.90234375,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.170625,0.44218749999999996
71,5232.9,0.96328125,6.23828125e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.170625,0.44218749999999996
72,5233.0,0.96328125,9.894531250000001e-05,33.57421875,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.170625,0.44218749999999996
73,5217.7,0.96328125,9.894531250000001e-05,44.70703125,1.1765625,1.8257812500000001,3.77734375,796.515625,0.170625,0.44218749999999996
74,4897.6,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.93046875,3.77734375,796.515625,0.170625,0.44218749999999996
75,5231.5,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,4.42578125,796.515625,0.170625,0.44218749999999996
76,5208.4,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,826.984375,0.170625,0.44218749999999996
77,5562.8,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.11937500000000001,0.44218749999999996
78,5271.1,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.170625,0.3421875
79,5231.5,0.96328125,9.894531250000001e-05,44.70703125,0.8265625000000001,1.8257812500000001,3.77734375,796.515625,0.170625,0.44218749999999996
80,4793.8,0.92734375,2.86328125e-05,42.94921875,1.1265625,1.90546875,4.05078125,1014.484375,0.179375,0.5921875
81,4793.3,0.93828125,2.86328125e-05,42.94921875,1.1265625,1.90546875,4.05078125,1014.484375,0.179375,0.5921875
82,4793.4,0.92734375,4.26953125e-05,42.94921875,1.1265625,1.90546875,4.05078125,1014.484375,0.179375,0.5921875
83,4793.9,0.92734375,2.86328125e-05,41.58203125,1.1265625,1.90546875,4.05078125,1014.484375,0.179375,0.5921875
84,4795.5,0.92734375,2.86328125e-05,42.94921875,1.0765625,1.90546875,4.05078125,1014.484375,0.179375,0.5921875
