major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,capcost,Q_engineering,high_grade_wasteheat,net_electrical_output
3.444019945401415,2.1254104967311838,2.3250562027284607,5.92668632610296,4586.23,1.0,241.0,3.0
3.6340722103528607,1.9741082874808944,1.3504615143738916,5.731119942241899,5527.53,1.5,501.0,71.0
3.6340722103528607,1.951718274452825,1.3504615143738916,5.440618420584206,5504.02,1.5,507.0,73.0
3.199530599534228,1.9741082874808944,1.3504615143738916,5.440618420584206,5069.42,1.6,564.0,86.0
3.199530599534228,1.951718274452825,1.3504615143738916,5.731119942241899,5071.67,1.5,526.0,76.0
3.199530599534228,1.951718274452825,1.3504615143738916,5.440618420584206,5037.4,1.6,548.0,86.0
3.6885092912686015,2.321492732037611,1.293356356853116,4.758984131204391,5297.22,1.2,510.0,32.0
3.6885092912686015,2.299102719009541,1.293356356853116,4.468482609546699,5259.24,1.1,490.0,18.0
3.6885092912686015,2.299102719009541,2.000191306610271,4.758984131204391,5766.79,1.0,593.0,4.0
3.206215855085284,1.930685231911305,1.594110186462534,4.151399249305949,4980.55,1.4,543.0,60.0
3.206215855085284,1.930685231911305,1.861869925059948,4.833033538685764,5230.17,1.1,519.0,18.0
3.206215855085284,2.168833552300773,1.594110186462534,4.833033538685764,5006.32,1.2,531.0,34.0
3.1384082630674315,1.930685231911305,1.594110186462534,4.833033538685764,5073.7,1.5,592.0,80.0
3.1384082630674315,2.168833552300773,1.861869925059948,4.833033538685764,5178.22,1.0,570.0,10.0
3.1384082630674315,2.168833552300773,1.594110186462534,4.833033538685764,4991.86,1.1,537.0,26.0
3.6951945468196574,2.278069676468021,1.2121401328235686,5.123535060343457,5365.35,1.5,579.0,83.0
3.6273869548018047,2.278069676468021,1.2121401328235686,5.123535060343457,5281.51,1.5,556.0,76.0
3.6951945468196574,1.821449107744056,1.2121401328235686,5.123535060343457,5518.84,1.4,413.0,48.0
3.6951945468196574,2.278069676468021,1.2121401328235686,5.805169349723272,5632.36,1.8,683.0,124.0
3.6273869548018047,1.821449107744056,1.2121401328235686,5.805169349723272,5576.99,1.4,415.0,50.0
3.939683892686844,2.104377454189663,1.269245290344344,4.637467154824703,5615.72,1.6,544.0,82.0
3.939683892686844,1.9951413300224143,1.269245290344344,5.319101444204518,5744.84,1.4,447.0,52.0
3.871876300668992,2.104377454189663,1.269245290344344,5.319101444204518,5711.85,1.5,538.0,74.0
3.871876300668992,1.9951413300224143,1.269245290344344,4.637467154824703,5608.52,1.5,490.0,64.0
3.871876300668992,1.9951413300224143,1.269245290344344,5.319101444204518,5717.09,1.5,495.0,70.0
3.450705200952471,2.45176189874638,1.5370050289417585,5.60960296586221,5402.67,1.2,613.0,44.0
3.382897608934618,2.45176189874638,1.5370050289417585,5.60960296586221,5299.4,1.2,587.0,34.0
3.450705200952471,2.342525774579131,1.5370050289417585,5.60960296586221,5296.52,1.4,599.0,70.0
3.450705200952471,2.45176189874638,1.918975082580724,5.60960296586221,5679.03,1.1,663.0,21.0
3.382897608934618,2.342525774579131,1.918975082580724,5.60960296586221,5593.23,1.2,675.0,43.0
3.3284605280188773,2.017531343050484,1.3745725808826634,5.852636918621587,5259.0,1.7,582.0,95.0
3.505142281868211,2.017531343050484,1.3745725808826634,5.852636918621587,5393.75,1.5,525.0,74.0
3.3284605280188773,2.255679663439952,1.3745725808826634,5.852636918621587,5295.56,1.7,680.0,111.0
3.3284605280188773,2.017531343050484,1.4316777384034391,5.852636918621587,5271.53,1.6,582.0,92.0
3.3284605280188773,2.017531343050484,1.3745725808826634,5.076067491445141,5146.55,1.7,592.0,96.0
3.3284605280188773,2.255679663439952,1.4316777384034391,5.076067491445141,5004.37,1.3,527.0,46.0
3.505142281868211,2.017531343050484,1.4316777384034391,5.076067491445141,5297.39,1.6,552.0,84.0
3.505142281868211,2.255679663439952,1.3745725808826634,5.076067491445141,5218.88,1.4,562.0,65.0
3.505142281868211,2.255679663439952,1.4316777384034391,5.852636918621587,5457.87,1.8,692.0,123.0
3.505142281868211,2.255679663439952,1.4316777384034391,5.076067491445141,5325.26,1.4,596.0,65.0
3.8174392197532505,2.3649157876072007,2.024302373119043,4.88050110758408,5983.02,1.0,651.0,13.0
3.994120973602585,2.3649157876072007,2.024302373119043,4.88050110758408,6006.67,1.0,578.0,7.0
3.572949873886064,2.0819874411615937,1.6994374770008531,5.366569013102834,5498.65,1.5,602.0,86.0
3.572949873886064,2.0819874411615937,1.7565426345216288,4.589999585926387,5470.88,1.4,604.0,66.0
3.7496316277353983,2.0819874411615937,1.6994374770008531,4.589999585926387,5640.22,1.4,593.0,72.0
3.7496316277353983,2.0819874411615937,1.7565426345216288,5.366569013102834,5712.44,1.3,555.0,59.0
3.7496316277353983,2.0819874411615937,1.7565426345216288,4.589999585926387,5650.28,1.4,584.0,64.0
3.08397118215169,2.1912235653288423,2.349167269237233,4.394433202065326,3984.01,1.0,267.0,4.0
3.08397118215169,2.1912235653288423,2.406272426758008,4.394433202065326,4007.22,1.1,286.0,13.0
3.08397118215169,2.1912235653288423,2.349167269237233,5.562135396963894,4113.41,1.1,258.0,9.0
3.260652936001025,2.1912235653288423,2.406272426758008,5.562135396963894,4406.56,1.0,277.0,3.0
3.260652936001025,2.42937188571831,2.406272426758008,5.562135396963894,4159.35,1.0,244.0,1.0
3.114532350385089,1.8655506485569209,1.2527482448383425,5.670361454052054,4996.6,1.6,513.0,78.0
3.780192795968796,1.8655506485569209,1.2527482448383425,5.670361454052054,5743.65,1.4,426.0,48.0
