major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,capcost,Q_engineering,high_grade_wasteheat,net_electrical_output
3.022848845684894,2.0609543986200736,1.7806537010304007,5.002018083963768,5105.89,1.3,634.0,59.0
3.566264618335008,2.0609543986200736,1.7806537010304007,5.002018083963768,5502.81,1.3,566.0,55.0
3.022848845684894,2.3859488301487204,1.7806537010304007,5.002018083963768,3578.09,0.5,100.0,-47.0
3.022848845684894,2.0609543986200736,1.5128939624329865,5.002018083963768,4866.75,1.4,581.0,73.0
3.022848845684894,2.0609543986200736,1.7806537010304007,5.1975844678248295,5161.51,1.4,675.0,79.0
3.022848845684894,2.3859488301487204,1.5128939624329865,5.1975844678248295,4910.42,0.9,496.0,-17.0
3.566264618335008,2.0609543986200736,1.5128939624329865,5.1975844678248295,5433.45,1.5,572.0,81.0
3.566264618335008,2.3859488301487204,1.7806537010304007,5.1975844678248295,5505.51,1.1,584.0,25.0
3.566264618335008,2.3859488301487204,1.5128939624329865,5.002018083963768,5395.9,1.1,555.0,22.0
3.566264618335008,2.3859488301487204,1.5128939624329865,5.1975844678248295,5372.5,1.2,561.0,37.0
3.511827537419267,2.4083388431767903,2.4303834932667803,5.974153895001276,4439.98,1.1,237.0,6.0
3.0772859266006347,2.4083388431767903,2.4303834932667803,5.974153895001276,5503.0,1.0,646.0,-13.0
3.511827537419267,2.038564385592004,2.4303834932667803,5.974153895001276,4885.92,1.2,294.0,17.0
3.511827537419267,2.4083388431767903,2.162623754669366,5.974153895001276,5863.28,1.1,679.0,21.0
3.511827537419267,2.4083388431767903,2.4303834932667803,4.2254486567873215,4178.16,0.9,207.0,-11.0
3.511827537419267,2.038564385592004,2.162623754669366,4.2254486567873215,5691.98,0.3,268.0,-221.0
3.0772859266006347,2.4083388431767903,2.162623754669366,4.2254486567873215,3631.18,0.7,142.0,-27.0
3.0772859266006347,2.038564385592004,2.4303834932667803,4.2254486567873215,3911.04,1.0,210.0,-3.0
3.0772859266006347,2.038564385592004,2.162623754669366,5.974153895001276,4164.41,0.9,196.0,-13.0
3.0772859266006347,2.038564385592004,2.162623754669366,4.2254486567873215,3909.77,0.9,195.0,-13.0
3.7563168832864537,1.8872621763417154,1.455788804912211,4.5159501784450145,5510.31,1.4,466.0,58.0
3.3217752724678213,1.8872621763417154,1.455788804912211,4.5159501784450145,5121.75,1.5,531.0,73.0
3.7563168832864537,1.8648721633136458,1.455788804912211,4.5159501784450145,5545.13,1.4,465.0,57.0
3.7563168832864537,1.8872621763417154,1.8377588585511764,4.5159501784450145,5796.79,0.5,302.0,-109.0
3.7563168832864537,1.8872621763417154,1.455788804912211,4.711516562306076,5599.31,1.4,480.0,59.0
3.7563168832864537,1.8648721633136458,1.8377588585511764,4.711516562306076,5802.03,0.5,286.0,-106.0
3.3217752724678213,1.8872621763417154,1.8377588585511764,4.711516562306076,5395.66,0.4,235.0,-175.0
3.3217752724678213,1.8648721633136458,1.455788804912211,4.711516562306076,5111.62,1.4,487.0,60.0
3.3217752724678213,1.8648721633136458,1.8377588585511764,4.5159501784450145,5434.66,0.4,253.0,-172.0
3.3217752724678213,1.8648721633136458,1.8377588585511764,4.711516562306076,5358.81,0.4,251.0,-151.0
3.2673381915520805,2.234646620898432,2.1055185971485906,5.4880859894825225,4099.25,0.8,179.0,-15.0
3.8107539642021946,2.234646620898432,2.1055185971485906,5.4880859894825225,6094.53,0.7,483.0,-71.0
3.2673381915520805,2.2122566078703625,2.1055185971485906,5.4880859894825225,4124.3,0.8,180.0,-17.0
3.2673381915520805,2.234646620898432,2.4874886507875558,5.4880859894825225,4397.92,1.1,292.0,8.0
3.2673381915520805,2.234646620898432,2.1055185971485906,5.683652373343583,4136.21,0.8,180.0,-15.0
3.2673381915520805,2.2122566078703625,2.4874886507875558,5.683652373343583,4404.65,1.2,295.0,18.0
3.8107539642021946,2.234646620898432,2.4874886507875558,5.683652373343583,4942.82,1.1,259.0,8.0
3.8107539642021946,2.2122566078703625,2.1055185971485906,5.683652373343583,6071.28,0.7,439.0,-83.0
3.8107539642021946,2.2122566078703625,2.4874886507875558,5.4880859894825225,4981.67,1.1,278.0,10.0
3.8107539642021946,2.2122566078703625,2.4874886507875558,5.683652373343583,5027.59,1.1,280.0,11.0
3.389582864485674,1.8004160652025363,2.2679510452076856,5.245052036723145,4985.24,1.3,335.0,30.0
3.932998637135788,1.8004160652025363,2.2679510452076856,5.245052036723145,7225.24,0.2,214.0,-355.0
3.389582864485674,2.4727949412878996,2.2679510452076856,5.245052036723145,4204.21,0.8,205.0,-26.0
3.389582864485674,1.8004160652025363,1.6753264104920813,5.245052036723145,5428.97,0.6,282.0,-90.0
3.389582864485674,1.8004160652025363,2.2679510452076856,4.954550515065453,4917.34,1.3,336.0,32.0
3.389582864485674,2.4727949412878996,1.6753264104920813,4.954550515065453,5389.93,0.9,543.0,-34.0
3.932998637135788,1.8004160652025363,1.6753264104920813,4.954550515065453,5958.69,0.8,325.0,-35.0
3.932998637135788,2.4727949412878996,2.2679510452076856,4.954550515065453,6219.74,0.7,536.0,-89.0
3.932998637135788,2.4727949412878996,1.6753264104920813,5.245052036723145,5841.12,1.2,612.0,45.0
3.932998637135788,2.4727949412878996,1.6753264104920813,4.954550515065453,5778.96,1.1,570.0,21.0
3.8785615562200473,2.1478005097592527,1.6182212529713058,4.272916225685638,5597.33,1.3,538.0,45.0
3.444019945401415,2.1478005097592527,1.6182212529713058,4.272916225685638,5220.02,1.0,514.0,9.0
