capcost,Q_engineering,high_grade_wasteheat,major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma
4938.55,1.3,466.0,3.854349762201309,2.0619667312107515,1.585101470342015,5.5624631475657225
5068.25,1.6,726.0,3.634804978966713,2.000803847629439,2.023938586724853,5.901300266385078
4542.12,1.1,357.0,3.634804978966713,2.000803847629439,1.7155549242511596,5.901300266385078
5068.72,1.4,570.0,3.774135835468769,1.83410967776829,1.8698596342901284,5.040631122887135
5067.53,1.4,568.0,3.774135835468769,1.83410967776829,1.8902382646814997,5.040631122887135
5111.6,1.4,582.0,3.774135835468769,1.83410967776829,2.052444402834189,5.040631122887135
5017.57,1.3,541.0,3.774135835468769,1.83410967776829,2.492650446229772,5.040631122887135
5070.88,1.4,575.0,3.774135835468769,1.83410967776829,1.8260993714529783,5.040631122887135
5127.46,1.5,613.0,3.783482700586319,1.83410967776829,1.8260993714529783,5.040631122887135
5394.9,1.3,681.0,3.783482700586319,1.83410967776829,2.40114268395895,5.040631122887135
4225.19,1.1,405.0,3.3453369146445766,2.0898265621919405,2.446889594345428,5.840346165467054
5402.9,1.3,695.0,3.783482700586319,1.83410967776829,2.363829124749459,5.040631122887135
4447.09,1.0,312.0,3.796458227559924,2.282432724272716,1.3638671007522525,5.61150249838829
5045.89,1.1,484.0,3.783482700586319,1.83410967776829,2.413179771674709,5.040631122887135
4971.52,1.3,463.0,3.83658080548048,1.83410967776829,1.8260993714529783,5.040631122887135
5505.91,1.6,826.0,3.783482700586319,1.83410967776829,1.2170811659107637,5.040631122887135
4926.73,1.1,433.0,3.783482700586319,1.83410967776829,1.2170811659107637,4.280508369207382
4971.9,1.3,445.0,3.8982008174061775,2.032674002594915,1.2263728593990837,5.806319572031498
5397.74,1.6,707.0,3.882371965330094,1.83410967776829,1.2170811659107637,5.040631122887135
5404.77,1.3,699.0,3.783482700586319,1.83410967776829,2.3538288384095174,5.040631122887135
4772.32,1.2,403.0,3.765610750764608,1.8616632133936064,1.7856882932259586,4.826588561350945
5407.06,1.5,604.0,3.993313241750002,1.83410967776829,1.2170811659107637,5.040631122887135
4854.05,1.2,429.0,3.783482700586319,1.83410967776829,2.034746837992274,5.040631122887135
4786.27,1.2,391.0,3.783482700586319,1.83410967776829,2.178166322054443,5.040631122887135
4920.53,1.3,496.0,3.783482700586319,1.9468624708669444,1.2170811659107637,5.040631122887135
5505.87,1.6,826.0,3.783482700586319,1.83410967776829,1.2146050706037754,5.040631122887135
5397.7,1.6,707.0,3.8824383663013577,1.83410967776829,1.2146050706037754,5.040631122887135
5403.77,1.3,697.0,3.783482700586319,1.83410967776829,2.359342105585762,5.040631122887135
4922.06,1.1,433.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.243248617742211
4136.4,1.1,336.0,3.439869213849306,2.03977947585065,2.0572885739120195,5.36863037198782
5130.39,1.5,608.0,3.783482700586319,1.83410967776829,1.5038607057933742,5.040631122887135
4487.0,1.1,334.0,3.7033946365118022,2.091389632012441,1.7356861018640843,5.872954903403297
4883.06,1.3,439.0,3.783482700586319,1.8536087677302484,1.2146050706037754,5.040631122887135
4912.67,1.3,449.0,3.783482700586319,1.83410967776829,1.3723035620931632,5.040631122887135
4626.55,1.0,339.0,3.752439074218273,1.8876561567539407,2.139657100840528,4.968932144111022
5046.15,1.1,484.0,3.783482700586319,1.83410967776829,2.4217728546610524,5.040631122887135
4744.46,1.1,405.0,3.783482700586319,2.0601177472316063,1.2146050706037754,5.040631122887135
4787.92,1.2,394.0,3.783482700586319,1.83410967776829,2.2467706353005457,5.040631122887135
5044.79,1.3,518.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.866604052484036
3883.61,1.0,300.0,3.308737352490425,2.178411013997421,2.1070986962427622,5.4191282209940255
5448.95,1.6,718.0,3.897599332034588,1.83410967776829,1.2146050706037754,5.040631122887135
5126.82,1.4,597.0,3.783482700586319,1.83410967776829,1.696122072676655,5.040631122887135
3827.4,1.0,322.0,3.2127202974497777,2.1949062871929885,1.554898992134764,5.885345806134865
4787.56,1.2,393.0,3.783482700586319,1.83410967776829,2.2294655103588514,5.040631122887135
4920.17,1.2,457.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.456138396635652
4238.61,1.0,299.0,3.559767637110781,2.002886934637421,1.813676364447198,4.889288954116637
4912.5,1.3,449.0,3.783482700586319,1.83410967776829,1.3885140790703845,5.040631122887135
4881.06,1.3,452.0,3.783482700586319,1.83410967776829,1.2146050706037754,4.505036640912294
