major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,CAPITAL COST 2021 PRICES [million USD]
3.1015523448520645,2.0098188255451497,1.3582362532777625,5.950209953786604,4169.16
3.1015523448520645,2.4615558762233167,1.3582362532777625,5.116152347202865,3109.81
3.1015523448520645,2.0098188255451497,2.3539740634183905,5.116152347202865,4159.84
3.656053880527449,2.4615558762233167,2.3539740634183905,5.116152347202865,3296.38
3.656053880527449,2.0098188255451497,1.3582362532777625,5.116152347202865,5782.65
3.656053880527449,2.0098188255451497,2.3539740634183905,5.950209953786604,4306.71
3.689787083949045,1.898134877518323,2.4483067735419164,4.808025164254848,4277.54
3.349124588340982,1.898134877518323,2.4483067735419164,4.808025164254848,4193.53
3.689787083949045,2.4206812368145685,2.4483067735419164,4.808025164254848,3497.79
3.689787083949045,1.898134877518323,1.3275670828968467,4.808025164254848,5117.67
3.349124588340982,1.898134877518323,1.3275670828968467,4.582345672216772,3796.8
3.349124588340982,2.4206812368145685,2.4483067735419164,4.582345672216772,2873.09
3.349124588340982,2.4206812368145685,1.3275670828968467,4.582345672216772,3236.6
3.259853448500061,2.1864687437255967,1.7263139936733358,5.096202617649672,3929.28
3.9792498240822742,2.1864687437255967,1.7263139936733358,4.370112446824005,4423.23
3.9792498240822742,2.311278597195464,2.0508354207959933,4.370112446824005,3380.86
3.259853448500061,2.1864687437255967,2.0508354207959933,4.370112446824005,2900.37
3.259853448500061,2.311278597195464,2.0508354207959933,4.370112446824005,3061.98
3.2686049672708615,2.040994658113173,1.922872404244312,4.203000022579238,3384.13
3.2686049672708615,1.859028272265114,1.922872404244312,4.203000022579238,4562.37
3.2686049672708615,2.040994658113173,1.922872404244312,5.8143384940562886,3455.4
3.8065104520748463,2.040994658113173,1.6713026454560258,5.8143384940562886,4988.02
3.8065104520748463,1.859028272265114,1.922872404244312,5.8143384940562886,5712.85
3.8065104520748463,1.859028272265114,1.6713026454560258,5.8143384940562886,4306.93
3.9383142919925467,2.2666826450471835,2.2047690927872683,4.520457424597491,3535.73
3.4932245524354895,2.1183072937547536,2.2047690927872683,4.520457424597491,3450.77
3.9383142919925467,2.1183072937547536,2.2047690927872683,4.078324543619282,3447.67
3.9383142919925467,2.1183072937547536,1.9019586317113126,4.520457424597491,4666.99
3.9383142919925467,2.1183072937547536,1.9019586317113126,4.078324543619282,4144.85
3.760835644582958,2.135159850132419,1.439340245501869,5.3265198742715505,3487.52
3.760835644582958,2.135159850132419,1.439340245501869,5.619867479973613,3532.33
3.760835644582958,2.3989008417837066,1.7688158130296951,5.619867479973613,4243.28
3.5934850240985567,2.367388879570602,2.1667260966128445,5.284325192055055,3864.55
3.4198953058650305,2.367388879570602,2.248549791007023,5.284325192055055,3283.73
3.4198953058650305,2.159218144243737,2.248549791007023,4.642501892448696,3526.62
