run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
0,7851.4,0.851171875,5.482421875e-05,36.943359375,0.91796875,1.955859375,3.607421875,902.5703125,0.09718750000000001,0.31484375
1,7469.8,0.931640625,5.482421875e-05,36.943359375,0.91796875,1.955859375,3.607421875,902.5703125,0.09718750000000001,0.31484375
2,7857.0,0.851171875,5.0957031250000004e-05,36.943359375,0.91796875,1.955859375,3.607421875,902.5703125,0.09718750000000001,0.31484375
3,7775.2,0.851171875,5.482421875e-05,44.951171875,0.91796875,1.955859375,3.607421875,902.5703125,0.09718750000000001,0.31484375
4,7872.3,0.851171875,5.482421875e-05,36.943359375,0.89453125,1.955859375,3.607421875,902.5703125,0.09718750000000001,0.31484375
5,7299.5,0.851171875,5.482421875e-05,36.943359375,0.91796875,1.864453125,3.607421875,902.5703125,0.09718750000000001,0.31484375
6,6234.8,0.851171875,5.482421875e-05,36.943359375,0.91796875,1.955859375,4.013671875,902.5703125,0.09718750000000001,0.31484375
7,8527.3,0.851171875,5.482421875e-05,36.943359375,0.91796875,1.955859375,3.607421875,831.0859375,0.09718750000000001,0.31484375
8,4790.1,0.851171875,5.482421875e-05,36.943359375,0.91796875,1.955859375,3.607421875,902.5703125,0.18531250000000002,0.31484375
10,5131.1,0.851171875,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.26953125
11,5117.5,0.931640625,5.482421875e-05,44.951171875,0.89453125,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.26953125
12,5119.0,0.931640625,5.0957031250000004e-05,36.943359375,0.89453125,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.26953125
13,5116.7,0.931640625,5.0957031250000004e-05,44.951171875,0.91796875,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.26953125
14,4853.3,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.955859375,4.013671875,831.0859375,0.18531250000000002,0.26953125
15,5117.7,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,3.607421875,831.0859375,0.18531250000000002,0.26953125
16,5070.8,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,4.013671875,902.5703125,0.18531250000000002,0.26953125
17,6181.8,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,4.013671875,831.0859375,0.09718750000000001,0.26953125
18,5087.9,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.31484375
19,5117.7,0.931640625,5.0957031250000004e-05,44.951171875,0.89453125,1.864453125,4.013671875,831.0859375,0.18531250000000002,0.26953125
20,4948.8,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.855859375,4.107421875,1052.5703125,0.1771875,0.51484375
21,4946.3,1.031640625,9.982421875e-05,24.443359375,1.11796875,1.855859375,4.107421875,1052.5703125,0.1771875,0.51484375
22,4948.9,0.951171875,9.595703125e-05,24.443359375,1.11796875,1.855859375,4.107421875,1052.5703125,0.1771875,0.51484375
23,4948.3,0.951171875,9.982421875e-05,32.451171875,1.11796875,1.855859375,4.107421875,1052.5703125,0.1771875,0.51484375
24,4949.6,0.951171875,9.982421875e-05,24.443359375,1.09453125,1.855859375,4.107421875,1052.5703125,0.1771875,0.51484375
25,4642.0,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.964453125,4.107421875,1052.5703125,0.1771875,0.51484375
26,4948.8,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.855859375,3.513671875,1052.5703125,0.1771875,0.51484375
27,4976.1,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.855859375,4.107421875,981.0859375,0.1771875,0.51484375
28,5266.5,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.855859375,4.107421875,1052.5703125,0.1053125,0.51484375
29,4958.5,0.951171875,9.982421875e-05,24.443359375,1.11796875,1.855859375,4.107421875,1052.5703125,0.1771875,0.46953125
30,6313.9,0.951171875,9.595703125e-05,32.451171875,1.09453125,1.964453125,3.513671875,981.0859375,0.1053125,0.46953125
34,5829.8,1.031640625,9.595703125e-05,32.451171875,1.09453125,1.855859375,3.513671875,981.0859375,0.1053125,0.46953125
40,5407.5,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,4.357421875,827.5703125,0.1371875,0.41484374999999996
41,5410.2,0.981640625,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,4.357421875,827.5703125,0.1371875,0.41484374999999996
42,5405.6,1.001171875,7.345703125000001e-05,43.193359375,0.81796875,1.805859375,4.357421875,827.5703125,0.1371875,0.41484374999999996
43,5410.5,1.001171875,3.2324218750000004e-05,26.201171875,0.81796875,1.805859375,4.357421875,827.5703125,0.1371875,0.41484374999999996
44,5400.2,1.001171875,3.2324218750000004e-05,43.193359375,0.99453125,1.805859375,4.357421875,827.5703125,0.1371875,0.41484374999999996
45,5373.0,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.814453125,4.357421875,827.5703125,0.1371875,0.41484374999999996
46,5407.5,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,3.763671875,827.5703125,0.1371875,0.41484374999999996
47,5353.1,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,4.357421875,906.0859375,0.1371875,0.41484374999999996
48,7343.1,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,4.357421875,827.5703125,0.0653125,0.41484374999999996
49,5425.9,1.001171875,3.2324218750000004e-05,43.193359375,0.81796875,1.805859375,4.357421875,827.5703125,0.1371875,0.36953125
50,9358.2,1.001171875,7.345703125000001e-05,26.201171875,0.99453125,1.814453125,3.763671875,906.0859375,0.0653125,0.36953125
