major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma,CAPITAL_COST_2021_PRICES_million_USD
3.854349762201309,2.0619667312107515,1.585101470342015,5.5624631475657225,4938.55
3.634804978966713,2.000803847629439,2.023938586724853,5.901300266385078,5068.25
3.634804978966713,2.000803847629439,1.7155549242511596,5.901300266385078,4542.12
3.774135835468769,1.83410967776829,1.8698596342901284,5.040631122887135,5068.72
3.774135835468769,1.83410967776829,1.8902382646815,5.040631122887135,5067.53
3.774135835468769,1.83410967776829,2.052444402834189,5.040631122887135,5111.6
3.774135835468769,1.83410967776829,2.492650446229772,5.040631122887135,5017.57
3.774135835468769,1.83410967776829,1.8260993714529783,5.040631122887135,5070.88
3.783482700586319,1.83410967776829,1.8260993714529783,5.040631122887135,5127.46
3.783482700586319,1.83410967776829,2.40114268395895,5.040631122887135,5394.9
3.3453369146445766,2.0898265621919405,2.446889594345428,5.840346165467054,4225.19
3.783482700586319,1.83410967776829,2.363829124749459,5.040631122887135,5402.9
3.796458227559924,2.282432724272716,1.3638671007522525,5.61150249838829,4447.09
3.783482700586319,1.83410967776829,2.413179771674709,5.040631122887135,5045.89
3.83658080548048,1.83410967776829,1.8260993714529783,5.040631122887135,4971.52
3.783482700586319,1.83410967776829,1.2170811659107637,5.040631122887135,5505.91
3.783482700586319,1.83410967776829,1.2170811659107637,4.280508369207382,4926.73
3.8982008174061775,2.032674002594915,1.2263728593990837,5.806319572031498,4971.9
3.882371965330094,1.83410967776829,1.2170811659107637,5.040631122887135,5397.74
3.783482700586319,1.83410967776829,2.3538288384095174,5.040631122887135,5404.77
3.765610750764608,1.8616632133936064,1.7856882932259586,4.826588561350945,4772.32
3.993313241750002,1.83410967776829,1.2170811659107637,5.040631122887135,5407.06
3.783482700586319,1.83410967776829,2.034746837992274,5.040631122887135,4854.05
3.783482700586319,1.83410967776829,2.178166322054443,5.040631122887135,4786.27
3.783482700586319,1.9468624708669444,1.2170811659107637,5.040631122887135,4920.53
3.783482700586319,1.83410967776829,1.2146050706037754,5.040631122887135,5505.87
3.8824383663013577,1.83410967776829,1.2146050706037754,5.040631122887135,5397.7
3.783482700586319,1.83410967776829,2.359342105585762,5.040631122887135,5403.77
3.783482700586319,1.83410967776829,1.2146050706037754,4.243248617742211,4922.06
3.439869213849306,2.03977947585065,2.0572885739120195,5.36863037198782,4136.4
3.783482700586319,1.83410967776829,1.5038607057933742,5.040631122887135,5130.39
3.703394636511802,2.091389632012441,1.7356861018640843,5.872954903403297,4487.0
3.783482700586319,1.8536087677302484,1.2146050706037754,5.040631122887135,4883.06
3.783482700586319,1.83410967776829,1.3723035620931632,5.040631122887135,4912.67
3.752439074218273,1.8876561567539407,2.139657100840528,4.968932144111022,4626.55
3.783482700586319,1.83410967776829,2.4217728546610524,5.040631122887135,5046.15
3.783482700586319,2.0601177472316063,1.2146050706037754,5.040631122887135,4744.46
3.783482700586319,1.83410967776829,2.2467706353005457,5.040631122887135,4787.92
3.783482700586319,1.83410967776829,1.2146050706037754,4.866604052484036,5044.79
3.308737352490425,2.178411013997421,2.1070986962427622,5.4191282209940255,3883.61
3.897599332034588,1.83410967776829,1.2146050706037754,5.040631122887135,5448.95
3.783482700586319,1.83410967776829,1.696122072676655,5.040631122887135,5126.82
3.2127202974497777,2.1949062871929885,1.554898992134764,5.885345806134865,3827.4
3.783482700586319,1.83410967776829,2.2294655103588514,5.040631122887135,4787.56
3.783482700586319,1.83410967776829,1.2146050706037754,4.456138396635652,4920.17
3.559767637110781,2.002886934637421,1.813676364447198,4.889288954116637,4238.61
3.783482700586319,1.83410967776829,1.3885140790703845,5.040631122887135,4912.5
3.783482700586319,1.83410967776829,1.2146050706037754,4.505036640912294,4881.06
3.783482700586319,1.981179976200454,1.2146050706037754,5.040631122887135,4640.39
3.783482700586319,1.83410967776829,1.3280488857616812,5.040631122887135,4912.88
3.783482700586319,1.83410967776829,1.2146050706037754,4.746594652344356,5273.12
3.530680373311043,2.1240666244087354,1.6259324130713115,5.590502526145428,4210.05
3.783482700586319,1.83410967776829,2.487297874684968,5.040631122887135,5067.74
3.5200501084327698,2.104345889269923,2.4071923732793765,5.927688059844513,4351.4
3.750426445156336,1.83410967776829,1.2146050706037754,5.040631122887135,5352.27
3.783482700586319,1.8844912837472685,1.2146050706037754,5.040631122887135,4954.79
3.783482700586319,1.83410967776829,1.3478018406665562,5.040631122887135,4912.74
3.783482700586319,1.83410967776829,1.2146050706037754,4.27011339366436,4925.56
3.783482700586319,1.83410967776829,1.5273542525003556,5.040631122887135,5130.11
3.783482700586319,1.83410967776829,1.326197686665886,5.040631122887135,4912.8
3.783482700586319,1.83410967776829,1.9482647369762067,5.040631122887135,5120.73
3.4223804231733084,1.9450382562922903,2.2570645610200466,4.687977870111354,4121.22
3.783482700586319,1.83410967776829,2.445495831347614,5.040631122887135,5046.83
3.783482700586319,1.83410967776829,1.2146050706037754,4.82634245371446,5155.25
3.783482700586319,1.83410967776829,1.45608154000462,5.040631122887135,5184.7
3.89714857772924,1.83410967776829,1.2146050706037754,5.040631122887135,5448.76
3.783482700586319,1.83410967776829,2.149090284898054,5.040631122887135,4785.46
3.783482700586319,1.83410967776829,1.2146050706037754,4.651061208918691,4998.29
3.783482700586319,1.8778920373695944,1.2146050706037754,5.040631122887135,5337.36
3.783482700586319,1.83410967776829,2.27107413642387,5.040631122887135,4788.45
3.747075035818853,1.83410967776829,1.2146050706037754,5.040631122887135,5351.87
3.783482700586319,1.83410967776829,2.3477247695984254,5.040631122887135,5405.92
3.783482700586319,1.83410967776829,1.2146050706037754,4.318885002428942,4931.61
3.783482700586319,1.83410967776829,1.9506289402023944,5.040631122887135,5120.64
3.783482700586319,1.83410967776829,1.3669547277439538,5.040631122887135,4912.65
3.783482700586319,1.83410967776829,1.2146050706037754,5.124439188279212,5338.47
3.80860320392685,1.83410967776829,1.2146050706037754,5.040631122887135,4966.92
3.783482700586319,1.83410967776829,1.5795436935066012,5.040631122887135,5129.31
3.783482700586319,1.83410967776829,1.2146050706037754,4.7124473045587365,4961.63
3.783482700586319,1.83410967776829,1.503578419875106,5.040631122887135,5130.39
