,m,r,mu,theta,l,final velocities,final accellerations,KE
0,0.13726813257834847,1.2588451519415194,0.0011216709167875367,11.645270947432552,0.73440042824395,1.4732193341631286,11.902342038698288,6.202921377260245
1,3.318010897303537,0.526942062404909,0.0009725431656297343,14.514778193656014,0.4490560999560385,12.551135065796625,13.584830470659456,-3.658893678096926
2,1.7627978906712123,0.6495049374564621,0.0012753765720224046,3.0491441276531646,0.5648209788993217,13.923172977902254,2.356838304021593,-5.284344383396514
3,0.6819891026964631,1.7802416402609895,0.0012051260218048088,8.525062593328009,0.909956585861743,7.4912912992726834,9.369622660221301,-6.223704839295623
4,2.776421761147928,1.647890417549018,0.000726713198074723,12.788714199744717,0.6110210132890618,6.336710764440799,13.031642002052564,2.863634525514505
5,1.5977499346782746,0.9358055952182415,0.0007814245112446556,8.91789341902921,0.6422917828640593,11.780125851472379,9.382576918233125,5.1360685551308025
6,1.2235782388520722,0.676933872132198,0.0010236009497014019,12.133203695790078,0.6799093644402993,13.306282977767035,11.616631442037942,-6.196971377060529
7,1.420867837744444,1.082458226161468,0.0009003863247264191,8.190913012512059,0.6637888356046666,1.818796883895078,7.250779273273276,-2.130948298495261
8,2.4022500653217254,0.3568239467552342,0.0006729084779379356,9.912801201285143,0.5701778113477254,26.062282099113236,9.413168068261111,-6.1889323164086205
9,2.0784124127331123,1.0417051596356757,0.001311929324242438,13.432761939148051,0.5179012632540266,24.262442025535574,13.594782277288811,6.46813467342167
10,2.2372021093287877,1.3650525489486183,0.0008651424535015462,5.650482331620711,0.7125391376831732,0.006961792687145928,6.524994895416092,-0.09913507551630614
11,0.9900098307504179,0.7691356887185631,0.0009465136164859906,6.931075574940085,0.766288241714683,0.07260881811515876,6.318993994364039,0.5063994715392506
12,3.8627318674216515,0.16084056649039902,0.0006035562103522265,10.486540949869188,1.033453918667416,9.844558565184002,11.910661857923394,-2.9954700954621334
13,3.009990169249582,1.5210729493769268,0.001413718836446554,10.68131586010907,0.8386281449711667,23.078114463057492,11.002741770612207,5.246349183707022
14,1.9215875872668877,1.2128265231993627,0.0010675360764784197,6.395358671394871,0.8197151479248483,0.5775969749493246,7.4817812635439065,-1.023027146306698
15,2.579132162255556,0.8828900409422886,0.0011281249972031281,15.608847494904612,0.7751222243968837,5.340222135832479,14.457407867020946,-2.7098271104773857
