Outputs,3,4,5,6,7,8,9,10
3,90.03,90.62,90.46,89.95,90.34,90.07,90.15,90.26
4,90.05,89.8,89.92,89.98,89.95,89.43,89.82,90.52
5,89.96,90.35,90.57,90.29,90.09,90.05,90.53,90.02
6,90.27,90.24,90.12,89.79,90.12,90.22,89.84,90.18
7,89.69,90.23,90.13,90.26,89.81,89.88,90.35,90.17
8,89.89,90.14,90.06,90.24,90.51,90.65,90.29,89.24
9,90.08,90.19,89.91,90.34,90.15,89.76,90.12,89.92
10,90.18,89.88,90.08,89.68,90.27,90.4,89.94,90.18
