,m_bins,theta_bins,v0_bins,vf_bins,KE_bins
264,5,4,5,9,5
265,1,6,6,9,4
266,2,7,8,5,1
267,5,9,9,9,7
268,2,7,4,8,4
269,9,7,1,2,1
270,4,1,8,7,3
271,4,9,9,3,1
272,6,3,9,8,6
273,8,8,1,1,1
274,7,6,2,2,1
275,5,6,8,3,1
276,6,8,3,7,4
277,2,3,3,9,4
278,3,1,9,9,5
279,2,8,3,5,1
280,1,8,5,8,3
281,3,3,7,6,3
282,1,6,1,9,4
283,3,6,8,7,3
284,3,7,6,8,4
285,2,8,3,8,4
286,7,3,1,1,1
287,4,8,7,7,4
288,1,7,8,9,3
289,2,7,8,2,1
290,4,1,1,1,1
291,6,1,4,7,4
292,1,2,4,6,2
293,4,7,2,4,1
294,3,1,8,9,5
295,2,2,2,9,5
296,6,1,5,9,6
297,7,8,4,3,1
298,3,4,2,2,1
299,6,4,6,5,2
300,1,8,9,5,2
301,8,5,9,5,2
302,7,4,3,5,3
303,7,4,3,4,1
304,7,4,6,6,4
305,9,4,2,7,6
306,5,8,4,1,1
307,3,7,3,6,2
308,8,4,2,6,4
309,2,3,4,1,1
310,9,9,4,1,1
311,5,7,3,9,7
312,2,1,8,7,3
313,2,6,5,5,2
314,1,3,4,9,4
315,6,5,6,3,1
316,6,7,1,1,1
317,9,7,3,6,5
318,5,4,1,9,6
319,7,6,8,9,7
320,1,6,1,3,1
321,7,4,8,7,5
322,8,9,9,9,7
323,1,1,9,9,4
324,7,6,3,9,7
325,6,7,8,8,6
326,9,2,1,9,9
327,4,2,9,1,1
328,2,6,9,6,2
329,1,8,7,5,1
330,5,9,9,4,1
331,9,1,5,6,4
332,1,4,4,7,3
333,6,6,3,4,2
334,3,5,6,9,5
335,5,4,1,9,6
336,5,1,6,3,1
337,3,7,6,5,2
338,5,9,5,8,5
339,6,4,3,8,5
340,7,7,5,9,8
341,5,3,9,9,6
342,6,6,1,2,1
343,2,3,9,6,2
344,1,1,6,4,1
345,6,3,2,9,7
346,6,7,9,7,5
347,1,3,5,1,1
348,8,6,1,9,8
349,2,7,6,6,2
350,2,4,2,9,4
351,8,8,7,6,4
352,1,6,2,9,4
353,4,7,2,3,1
354,7,1,2,8,6
355,8,6,9,8,6
356,9,8,7,8,7
357,1,7,6,5,2
358,9,7,1,6,4
359,7,2,7,9,7
360,9,5,5,5,3
361,1,2,2,3,1
362,9,5,4,5,3
